Facility Name,Address,County,City,Zip,Number of Beds,Location
St. Mark's Terrace EHP #1,110 Chapel Street,Yates,Penn Yan,14527,27,"110 Chapel Street
Penn Yan, NY 14527
(42.66264999400005, -77.05661997999994)"
Clinton Crest Manor,411 Clinton Street,Yates,Penn Yan,14527,42,"411 Clinton Street
Penn Yan, NY 14527
(42.668670003000045, -77.04209003499994)"
Quail Summit,5102 Parrish Street Ext.,Ontario,Canandaigua,14424,55,"5102 Parrish Street Ext.
Canandaigua, NY 14424
(42.87406200200007, -77.29757304199995)"
The Kensington,100 Maple Avenue,Westchester,White Plains,10601,130,"100 Maple Avenue
White Plains, NY 10601
(41.02674100100006, -73.76738297499998)"
The Bristal at Lynbrook,8 Freer Street,Nassau,Lynbrook,11563,200,"8 Freer Street
Lynbrook, NY 11563
(40.655987002000074, -73.68418302999999)"
Ivy Lodge,108 Main Street,Ulster,Saugerties,12477,40,"108 Main Street
Saugerties, NY 12477
(42.07878200000005, -73.94857097099998)"
St. Mary's Manor,60 Doughty Boulevard,Nassau,Inwood,11096,28,"60 Doughty Boulevard
Inwood, NY 11096
(40.613606004000076, -73.74549296399994)"
The Landing at Queensbury,27 Woodvale Road,Warren,Queensbury,12804,88,"27 Woodvale Road
Queensbury, NY 12804
(43.33478999000005, -73.66139003699993)"
Village Walk A Carlisle Assisted Living Community,131 East Main Street,Suffolk,Patchogue,11772,146,"131 East Main Street
Patchogue, NY 11772
(40.765840352000055, -73.01207317699993)"
The Pines at Heartwood,2405 Fifteenth Street,Rensselaer,Troy,12180,86,"2405 Fifteenth Street
Troy, NY 12180
(42.739910019000035, -73.67489596499996)"
Cedarwood Senior Living,46 Cortland Street,Cortland,Homer,13077,35,"46 Cortland Street
Homer, NY 13077
(42.63228001200008, -76.18320999499997)"
Danforth Adult Care Center,19 Danforth Street,Rensselaer,Hoosick Falls,12090,80,"19 Danforth Street
Hoosick Falls, NY 12090
(42.90990599600008, -73.34765699399998)"
The Lodge at Ives Hill,1200 Jewell Drive,Jefferson,Watertown,13601,24,"1200 Jewell Drive
Watertown, NY 13601
(43.96240301100005, -75.93538704099996)"
Brookdale Kenmore,2971 Delaware Avenue,Erie,Kenmore,14217,120,"2971 Delaware Avenue
Kenmore, NY 14217
(42.964860016000046, -78.86997901799998)"
Arcadia Residence,25 Carrier Street,Sullivan,Liberty,12754,114,"25 Carrier Street
Liberty, NY 12754
(41.79450598200003, -74.74891800199998)"
Castle Senior Living at Forest Hills,108-25 Horace Harding Expressway,Queens,Forest Hills,11368,177,"108-25 Horace Harding Expressway
Forest Hills, NY 11368
(40.73851999900006, -73.85142203099997)"
Robynwood Assisted Living,43 Walnut Street,Otsego,Oneonta,13820,49,"43 Walnut Street
Oneonta, NY 13820
(42.457900007000035, -75.05889000099995)"
