OBJECTID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape__Area,Shape__Length
1,3,Brooklyn,047,BK88,Borough Park,54005019.0479584,39247.2278309207
2,4,Queens,081,QN51,Murray Hill,52488277.5914307,33266.9048720645
3,4,Queens,081,QN27,East Elmhurst,19726945.9468689,19816.6846901894
4,4,Queens,081,QN07,Hollis,22887772.8086853,20976.3355996182
5,3,Brooklyn,047,BK25,Homecrest,29991967.2829895,27514.0229181843
6,4,Queens,081,QN41,Fresh Meadows-Utopia,27774853.4173584,22106.4312721238
7,4,Queens,081,QN08,St. Albans,77412763.9618835,45401.2252596837
8,4,Queens,081,QN06,Jamaica Estates-Holliswood,42789975.8439789,35465.9749306382
9,3,Brooklyn,047,BK44,Madison,27379162.0824585,26237.257857622
10,3,Brooklyn,047,BK41,Kensington-Ocean Parkway,15893305.1584473,20800.7523582552
11,3,Brooklyn,047,BK95,Erasmus,14522603.591568,18756.701864605
12,2,Bronx,005,BX33,Longwood,10732452.060379,18982.1300680849
13,3,Brooklyn,047,BK69,Clinton Hill,20528223.2234344,23971.4512852219
14,4,Queens,081,QN33,Cambria Heights,33076797.8818359,26168.2700874339
15,3,Brooklyn,047,BK43,Midwood,35799574.3850098,27996.5906115546
16,3,Brooklyn,047,BK26,Gravesend,31341851.41539,39921.9892834371
17,3,Brooklyn,047,BK29,Bensonhurst East,35777868.9467316,33902.9521655258
18,3,Brooklyn,047,BK72,Williamsburg,11589988.1719055,16874.4338457689
19,3,Brooklyn,047,BK75,Bedford,32629789.0475311,29992.923799789
20,3,Brooklyn,047,BK35,Stuyvesant Heights,31406935.8952026,28239.0807706565
21,3,Brooklyn,047,BK79,Ocean Hill,20089914.363678,22494.5820937963
22,3,Brooklyn,047,BK63,Crown Heights South,15989889.1157227,24192.4559401139
23,3,Brooklyn,047,BK96,Rugby-Remsen Village,32706946.2815094,30957.8542965782
24,2,Bronx,005,BX31,Allerton-Pelham Gardens,31693009.6642609,25467.0894466237
25,3,Brooklyn,047,BK93,Starrett City,11598989.1493835,17414.5842094885
26,3,Brooklyn,047,BK91,East Flatbush-Farragut,34360864.394455,39201.0383790182
27,3,Brooklyn,047,BK78,Bushwick South,40169477.6530914,40735.7273876376
28,3,Brooklyn,047,BK77,Bushwick North,24927981.4045258,26321.6222563253
29,4,Queens,081,QN20,Ridgewood,50495189.306488,40608.4903969445
30,3,Brooklyn,047,BK46,Ocean Parkway South,17782095.7563477,21975.9973188892
31,3,Brooklyn,047,BK68,Fort Greene,16482821.6395416,19825.5210588854
32,4,Queens,081,QN68,Queensbridge-Ravenswood-Long Island City,23317032.8328705,27067.6525331793
33,2,Bronx,005,BX08,West Farms-Bronx River,15084969.4428864,17477.288874968
34,2,Bronx,005,BX46,Parkchester,9184677.0995636,12411.7882087094
35,2,Bronx,005,BX55,Soundview-Bruckner,16253358.282608,19756.5597869206
36,4,Queens,081,QN19,Glendale,30016769.2298126,41514.3955779186
37,2,Bronx,005,BX28,Van Cortlandt Village,25666044.3599701,21945.6956414882
38,4,Queens,081,QN38,Pomonok-Flushing Heights-Hillcrest,38835956.6579132,30731.592022613
39,1,Manhattan,061,MN15,Clinton,18362148.8181,34481.6082788022
40,4,Queens,081,QN34,Queens Village,69533433.1294098,41782.4010444792
41,4,Queens,081,QN21,Middle Village,57684858.3557739,42675.5298570116
42,2,Bronx,005,BX62,Woodlawn-Wakefield,39738810.527771,38693.868662747
43,2,Bronx,005,BX07,Bronxdale,15185614.8253937,17432.1329006683
44,3,Brooklyn,047,BK85,East New York (Pennsylvania Ave),19397526.6852417,24226.8512879701
45,4,Queens,081,QN55,South Ozone Park,82461392.883194,36708.1693545591
46,3,Brooklyn,047,BK27,Bath Beach,20535007.0575256,22383.6865320298
47,3,Brooklyn,047,BK28,Bensonhurst West,46670569.5071564,37137.4391703766
48,4,Queens,081,QN30,Maspeth,35633121.0478516,41265.5928554441
49,4,Queens,081,QN23,College Point,50554003.6824036,59454.1720032531
50,2,Bronx,005,BX98,Rikers Island,18163963.9882202,18897.9994012381
