ATS_CODE,BORONUM,LOC_CODE,SCH_TYPE,GEO_DISTRI,ADDRESS,City
15K001,2,K001,Elementary,15,309 47 STREET,BROOKLYN
17K002,2,K002,Junior High-Intermediate-Middle,17,655 PARKSIDE AVENUE,BROOKLYN
21K095,2,K095,K-8,21,345 VAN SICKLEN STREET,BROOKLYN
21K096,2,K096,Junior High-Intermediate-Middle,21,99 AVENUE P,BROOKLYN
21K097,2,K097,Elementary,21,1855 STILLWELL AVENUE,BROOKLYN
21K098,2,K098,Junior High-Intermediate-Middle,21,1401 EMMONS AVENUE,BROOKLYN
21K099,2,K099,K-8,21,1120 EAST  10 STREET,BROOKLYN
21K100,2,K100,Elementary,21,2951 WEST  3 STREET,BROOKLYN
21K101,2,K101,Elementary,21,2360 BENSON AVENUE,BROOKLYN
20K102,2,K102,Elementary,20,211 72 STREET,BROOKLYN
13K103,2,K103,Junior High-Intermediate-Middle,13,170 GATES AVENUE,BROOKLYN
20K104,2,K104,K-8,20,9115 5 AVENUE,BROOKLYN
20K105,2,K105,Elementary,20,1031 59 STREET,BROOKLYN
32K106,2,K106,Elementary,32,1328 PUTNAM AVENUE,BROOKLYN
15K107,2,K107,Elementary,15,1301 8 AVENUE,BROOKLYN
19K108,2,K108,Elementary,19,200 LINWOOD STREET,BROOKLYN
22K109,2,K109,K-8,22,1001 EAST  45 STREET,BROOKLYN
14K110,2,K110,Elementary,14,124 MONITOR STREET,BROOKLYN
20K112,2,K112,Elementary,20,7115 15 AVENUE,BROOKLYN
13K113,2,K113,Junior High-Intermediate-Middle,13,300 ADELPHI STREET,BROOKLYN
18K114,2,K114,Elementary,18,1077 REMSEN AVENUE,BROOKLYN
18K115,2,K115,Elementary,18,1500 EAST  92 STREET,BROOKLYN
32K116,2,K116,Elementary,32,515 KNICKERBOCKER AVENUE,BROOKLYN
22K119,2,K119,Elementary,22,3829 AVENUE K,BROOKLYN
14K120,2,K120,Elementary,14,18 BEAVER STREET,BROOKLYN
21K121,2,K121,K-8,21,5301 20 AVENUE,BROOKLYN
32K123,2,K123,Elementary,32,100 IRVING AVENUE,BROOKLYN
15K124,2,K124,Elementary,15,515 4 AVENUE,BROOKLYN
14K126,2,K126,Junior High-Intermediate-Middle,14,424 LEONARD STREET,BROOKLYN
20K127,2,K127,Elementary,20,7805 7 AVENUE,BROOKLYN
21K128,2,K128,Elementary,21,2075 84 STREET,BROOKLYN
15K130,2,K130,Elementary,15,70 OCEAN PARKWAY,BROOKLYN
15K131,2,K131,Elementary,15,4305 FT HAMILTON PARKWAY,BROOKLYN
14K132,2,K132,Elementary,14,320 MANHATTAN AVENUE,BROOKLYN
22K134,2,K134,Elementary,22,4001 18 AVENUE,BROOKLYN
18K135,2,K135,Elementary,18,684 LINDEN BOULEVARD,BROOKLYN
15K136,2,K136,Junior High-Intermediate-Middle,15,4004 4 AVENUE,BROOKLYN
23K137,2,K137,K-8,23,121 SARATOGA AVENUE,BROOKLYN
17K138,2,K138,K-8,17,760 PROSPECT PLACE,BROOKLYN
22K139,2,K139,Elementary,22,330 RUGBY ROAD,BROOKLYN
75K140,2,K140,K-8,23,985 ROCKAWAY AVENUE,BROOKLYN
75K141,2,K141,K-12 all grades,17,655 PARKSIDE AVENUE,BROOKLYN
32K145,2,K145,Elementary,32,100 NOLL STREET,BROOKLYN
15K146,2,K146,Elementary,15,610 HENRY STREET,BROOKLYN
14K147,2,K147,Elementary,14,325 BUSHWICK AVENUE,BROOKLYN
19K149,2,K149,Elementary,19,700 SUTTER AVENUE,BROOKLYN
23K150,2,K150,K-8,23,364 SACKMAN STREET,BROOKLYN
32K151,2,K151,Elementary,32,763 KNICKERBOCKER AVENUE,BROOKLYN
22K152,2,K152,Elementary,22,725 EAST  23 STREET,BROOKLYN
21K153,2,K153,Elementary,21,1970 HOMECREST AVENUE,BROOKLYN
15K154,2,K154,Elementary,15,1625 11 AVENUE,BROOKLYN
23K155,2,K155,K-8,23,1355 HERKIMER STREET,BROOKLYN
23K156,2,K156,Elementary,23,104 SUTTER AVENUE,BROOKLYN
14K157,2,K157,Elementary,14,850 KENT AVENUE,BROOKLYN
19K158,2,K158,Elementary,19,400 ASHFORD STREET,BROOKLYN
19K159,2,K159,Elementary,19,2781 PITKIN AVENUE,BROOKLYN
17K161,2,K161,K-8,17,330 CROWN STREET,BROOKLYN
32K162,2,K162,Junior High-Intermediate-Middle,32,1390 WILLOUGHBY AVENUE,BROOKLYN
20K164,2,K164,Elementary,20,4211 14 AVENUE,BROOKLYN
23K165,2,K165,K-8,23,76 LOTT AVENUE,BROOKLYN
