DBN,SCHOOL,SCHOOL LEVEL*,2009-2010 OVERALL SCORE
01M015,P.S. 015 Roberto Clemente,Elementary,37.6
01M019,P.S. 019 Asher Levy,Elementary,35.7
01M020,P.S. 020 Anna Silver,Elementary,70.3
01M034,P.S. 034 Franklin D. Roosevelt,K-8,53
01M063,P.S. 063 William McKinley,Elementary,54
01M064,P.S. 064 Robert Simon,Elementary,31
01M110,P.S. 110 Florence Nightingale,Elementary,25.4
01M134,P.S. 134 Henrietta Szold,Elementary,54.2
01M137,P.S. 137 John L. Bernstein,Elementary,20.1
01M140,P.S. 140 Nathan Straus,K-8,43
01M142,P.S. 142 Amalia Castro,Elementary,50.3
01M184,P.S. 184m Shuang Wen,K-8,92.1
01M188,P.S. 188 The Island School,K-8,16.8
01M292,Henry Street School for International Studies,High School,40
01M292,Henry Street School for International Studies,Middle,33.7
01M301,"Technology, Arts, and Sciences Studio",Middle,40.9
01M315,The East Village Community School,Elementary,22.8
01M332,University Neighborhood Middle School,Middle,51.1
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",Middle,44.6
01M361,The Children's Workshop School,Elementary,34.3
01M363,Neighborhood School,Elementary,33.1
01M364,Earth School,Elementary,22
01M378,School for Global Leaders,Middle,56.5
01M448,University Neighborhood High School,High School,47.8
01M450,East Side Community School,High School,84
01M450,East Side Community School,Middle,76.9
01M509,Marta Valle High School,High School,62.6
01M515,Lower East Side Preparatory High School,High School Transfer,90.1
01M539,"New Explorations into Science, Technology and Math",High School,67.2
01M539,"New Explorations into Science, Technology and Math",K-8,80.2
01M650,Cascades High School,High School Transfer,72.4
01M696,Bard High School Early College,High School,60.9
01M839,Tompkins Square Middle School,Middle,84.4
02M001,P.S. 001 Alfred E. Smith,Elementary,41.2
02M002,P.S. 002 Meyer London,Elementary,87.5
02M003,P.S. 003 Charrette School,Elementary,47.8
02M006,P.S. 006 Lillie D. Blake,Elementary,45.6
02M011,P.S. 011 William T. Harris,Elementary,74
02M033,P.S. 033 Chelsea Prep,Elementary,62.2
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,63.7
02M041,P.S. 041 Greenwich Village,Elementary,58.2
02M042,P.S. 042 Benjamin Altman,Elementary,82.6
02M047,47 The American Sign Language and English Secondary School,High School,76.6
02M047,47 The American Sign Language and English Secondary School,Middle,
02M051,P.S. 051 Elias Howe,Elementary,57.2
02M059,P.S. 059 Beekman Hill International,Elementary,43.8
02M077,P.S. 77 Lower Lab School,Elementary,76.3
02M089,P.S. 89,Elementary,47.6
02M104,J.H.S. 104 Simon Baruch,Middle,53
02M111,P.S. 111 Adolph S. Ochs,K-8,52.6
02M114,East Side Middle School,Middle,78.3
02M116,P.S. 116 Mary Lindley Murray,Elementary,51.3
02M124,P.S. 124 Yung Wing,Elementary,67.3
02M126,P.S. 126 Jacob August Riis,K-8,75
02M130,P.S. 130 Hernando De Soto,Elementary,88.3
02M131,M.S. 131,Middle,61.9
02M150,P.S. 150,Elementary,52.4
02M158,P.S. 158 Bayard Taylor,Elementary,79.7
02M167,J.H.S. 167 Robert F. Wagner,Middle,53.9
