NTACode,NTAName,ZIPCode
MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,10001
MN27,Chinatown                                                                  ,10002
MN22,East Village                                                               ,10003
MN25,Battery Park City-Lower Manhattan                                          ,10004
MN25,Battery Park City-Lower Manhattan                                          ,10005
MN25,Battery Park City-Lower Manhattan                                          ,10006
MN24,SoHo-TriBeCa-Civic Center-Little Italy                                     ,10007
MN28,Lower East Side                                                            ,10009
MN21,Gramercy                                                                   ,10010
MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,10011
MN24,SoHo-TriBeCa-Civic Center-Little Italy                                     ,10012
MN24,SoHo-TriBeCa-Civic Center-Little Italy                                     ,10013
MN23,West Village                                                               ,10014
MN20,Murray Hill-Kips Bay                                                       ,10016
MN19,Turtle Bay-East Midtown,10017
MN17,Midtown-Midtown South,10018
MN15,Clinton,10019
MN17,Midtown-Midtown South,10020
MN31,Lenox Hill-Roosevelt Island                                                ,10021
MN19,Turtle Bay-East Midtown,10022
MN14,Lincoln Square                                                             ,10023
MN12,Upper West Side                                                            ,10024
MN09,Morningside Heights                                                        ,10025
MN11,Central Harlem South                                                       ,10026
MN11,Central Harlem South                                                       ,10027
MN40,Upper East Side-Carnegie Hill                                              ,10028
MN33,East Harlem South                                                          ,10029
MN03,Central Harlem North-Polo Grounds                                          ,10030
MN06,Manhattanville                                                             ,10031
MN36,Washington Heights South                                                   ,10032
MN35,Washington Heights North                                                   ,10033
MN01,Marble Hill-Inwood                                                         ,10034
MN34,East Harlem North                                                          ,10035
MN15,Clinton                                                                    ,10036
MN03,Central Harlem North-Polo Grounds                                          ,10037
MN27,Chinatown                                                                  ,10038
MN03,Central Harlem North-Polo Grounds                                          ,10039
MN35,Washington Heights North                                                   ,10040
MN25,Battery Park City-Lower Manhattan,10043
MN31,Lenox Hill-Roosevelt Island                                                ,10044
MN25,Battery Park City-Lower Manhattan,10045
MN31,Lenox Hill-Roosevelt Island                                                ,10065
MN14,Lincoln Square,10069
MN31,Lenox Hill-Roosevelt Island                                                ,10075
MN25,Battery Park City-Lower Manhattan,10080
MN17,Midtown-Midtown South,10104
MN17,Midtown-Midtown South,10105
MN17,Midtown-Midtown South,10106
MN17,Midtown-Midtown South,10107
MN17,Midtown-Midtown South,10111
MN17,Midtown-Midtown South,10112
MN09,Morningside Heights,10115
MN17,Midtown-Midtown South,10119
MN17,Midtown-Midtown South,10120
MN17,Midtown-Midtown South,10123
MN40,Upper East Side-Carnegie Hill                                              ,10128
MN19,Turtle Bay-East Midtown,10154
MN19,Turtle Bay-East Midtown,10155
MN20,Murray Hill-Kips Bay,10165
