,NTACode,NTAName,NTA Latitude,NTA Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,BK88,Borough Park,40.63065899980281,-73.98789587309159,Dagan Pizza & Dairy Restaurant,40.63126305944451,-73.98538657826741,Pizza Place
1,BK88,Borough Park,40.63065899980281,-73.98789587309159,Kaff Kafe,40.62843375330164,-73.98834887453891,Pizza Place
2,BK88,Borough Park,40.63065899980281,-73.98789587309159,Duane Reade,40.63184735626117,-73.98488938808447,Pharmacy
3,BK88,Borough Park,40.63065899980281,-73.98789587309159,Kosher Pizza & Bagels,40.633076763962194,-73.98318371749866,Bagel Shop
4,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Bowne Park,40.770200366990906,-73.80769911868802,Park
5,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Jongro BBQ,40.7641127882201,-73.8094035270143,Korean Restaurant
6,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Northern Sushi,40.76471686204941,-73.81123547397227,Japanese Restaurant
7,QN51,Murray Hill,40.768093678382016,-73.80767096413803,IHOP,40.764285328010274,-73.80953077388979,Breakfast Spot
8,QN51,Murray Hill,40.768093678382016,-73.80767096413803,병천자매순대 (Byun Chung Soon Dae Restaurant) (Byun Chung Soon Dae Restaurant),40.76423360851895,-73.80900947753332,Korean Restaurant
9,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Sodam,40.763867658707134,-73.80841950191183,Korean Restaurant
10,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Picnic Garden,40.764699887941646,-73.81067519120313,BBQ Joint
11,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Chase Bank,40.76497137695377,-73.81136920646958,Bank
12,QN51,Murray Hill,40.768093678382016,-73.80767096413803,큰손 칼국수,40.76586428971515,-73.81090861460873,Korean Restaurant
13,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Firestone Complete Auto Care,40.764569,-73.810255,Automotive Shop
14,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Bowne Park Pond,40.77043433707116,-73.80838394165039,Lake
15,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Dokdoya,40.769491796481404,-73.80389928817749,Seafood Restaurant
16,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Sushi House,40.765899658203125,-73.81105041503906,Sushi Restaurant
17,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Kun Sohn Korean Noodle House,40.7658451,-73.8110688,Korean Restaurant
18,QN51,Murray Hill,40.768093678382016,-73.80767096413803,Kim's Orthopedic Shoes,40.76419796022819,-73.80897434903926,Shoe Store
19,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Dunkin',40.762185223635456,-73.86891978680535,Donut Shop
20,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Baskin-Robbins,40.762238699408485,-73.8688798219074,Ice Cream Shop
21,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Elements Lounge,40.76743296874557,-73.86704831806546,Hotel Bar
22,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Hertz,40.767307,-73.867262,Rental Car Location
23,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Hernandez Deli,40.76176392946822,-73.86721833919596,Deli / Bodega
24,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,MTA Q49 (31st Ave/102nd Street),40.761268375278135,-73.86716187000275,Bus Station
25,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Flushing Bay,40.76286396355218,-73.86275021502344,Lake
26,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Dunkin',40.76540466995296,-73.86196002790365,Donut Shop
27,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Pavillon Restaurant,40.76704821441268,-73.86670724995363,Snack Place
28,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,Gulf,40.764974291340614,-73.86163416059846,Gas Station
29,QN27,East Elmhurst,40.763458706863965,-73.86604560525976,TroupeFit,40.76351289235418,-73.86103349579275,Gym / Fitness Center
30,BK95,Erasmus,40.64554772075038,-73.95203003861633,Kings Theatre,40.64610998195542,-73.95717452942507,Theater
31,BK95,Erasmus,40.64554772075038,-73.95203003861633,Exquisite Delight,40.64909065673373,-73.94924266662322,Caribbean Restaurant
32,BK95,Erasmus,40.64554772075038,-73.95203003861633,Cafe Omar,40.64336018302179,-73.94902256804588,Music Venue
33,BK95,Erasmus,40.64554772075038,-73.95203003861633,Cocoa Mane Hair Salon,40.6411018371582,-73.95115661621094,Salon / Barbershop
34,BK95,Erasmus,40.64554772075038,-73.95203003861633,Nostrand Health Foods,40.64909203083852,-73.94924301932052,Juice Bar
35,BK95,Erasmus,40.64554772075038,-73.95203003861633,FIB Tattoo Bar,40.645226,-73.957701,Bar
36,BK95,Erasmus,40.64554772075038,-73.95203003861633,Domino's Pizza,40.648009,-73.948977,Pizza Place
37,BK95,Erasmus,40.64554772075038,-73.95203003861633,Michelle's Cocktail Lounge,40.64775,-73.956019,Lounge
38,BK95,Erasmus,40.64554772075038,-73.95203003861633,Trini Breakfast Shed II,40.64909213035565,-73.94923089951965,Caribbean Restaurant
39,BK95,Erasmus,40.64554772075038,-73.95203003861633,Cam Tak Express Restaurant,40.64437,-73.957677,Chinese Restaurant
40,BK95,Erasmus,40.64554772075038,-73.95203003861633,Katherin's Kettle Korn,40.64585059603141,-73.94622584518712,Food Truck
41,QN07,Hollis,40.71049662625147,-73.76406652104913,Baskin-Robbins,40.71144618212317,-73.76702659595716,Ice Cream Shop
42,QN07,Hollis,40.71049662625147,-73.76406652104913,LIRR - Hollis Station,40.70994976451499,-73.76689892551359,Train Station
43,QN07,Hollis,40.71049662625147,-73.76406652104913,CTown Supermarkets,40.71346651565743,-73.76566777637447,Grocery Store
