NTACode,NTAName,NTA Latitude,NTA Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
BK88,Borough Park,40.630659,-73.98789587,Dagan Pizza & Dairy Restaurant,40.63126306,-73.98538658,Pizza Place
BK88,Borough Park,40.630659,-73.98789587,Kaff Kafe,40.62843375,-73.98834887,Pizza Place
BK88,Borough Park,40.630659,-73.98789587,Duane Reade,40.63184736,-73.98488939,Pharmacy
BK88,Borough Park,40.630659,-73.98789587,Kosher Pizza & Bagels,40.63307676,-73.98318372,Bagel Shop
QN51,Murray Hill,40.76809368,-73.80767096,Bowne Park,40.77020037,-73.80769912,Park
QN51,Murray Hill,40.76809368,-73.80767096,Jongro BBQ,40.76411279,-73.80940353,Korean Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Northern Sushi,40.76471686,-73.81123547,Japanese Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,IHOP,40.76428533,-73.80953077,Breakfast Spot
QN51,Murray Hill,40.76809368,-73.80767096,병천자매순대 (Byun Chung Soon Dae Restaurant) (Byun Chung Soon Dae Restaurant),40.76423361,-73.80900948,Korean Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Sodam,40.76386766,-73.8084195,Korean Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Picnic Garden,40.76469989,-73.81067519,BBQ Joint
QN51,Murray Hill,40.76809368,-73.80767096,Chase Bank,40.76497138,-73.81136921,Bank
QN51,Murray Hill,40.76809368,-73.80767096,큰손 칼국수,40.76586429,-73.81090861,Korean Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Firestone Complete Auto Care,40.764569,-73.810255,Automotive Shop
QN51,Murray Hill,40.76809368,-73.80767096,Bowne Park Pond,40.77043434,-73.80838394,Lake
QN51,Murray Hill,40.76809368,-73.80767096,Dokdoya,40.7694918,-73.80389929,Seafood Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Sushi House,40.76589966,-73.81105042,Sushi Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Kun Sohn Korean Noodle House,40.7658451,-73.8110688,Korean Restaurant
QN51,Murray Hill,40.76809368,-73.80767096,Kim's Orthopedic Shoes,40.76419796,-73.80897435,Shoe Store
QN27,East Elmhurst,40.76345871,-73.86604561,Dunkin',40.76218522,-73.86891979,Donut Shop
QN27,East Elmhurst,40.76345871,-73.86604561,Baskin-Robbins,40.7622387,-73.86887982,Ice Cream Shop
QN27,East Elmhurst,40.76345871,-73.86604561,Elements Lounge,40.76743297,-73.86704832,Hotel Bar
QN27,East Elmhurst,40.76345871,-73.86604561,Hertz,40.767307,-73.867262,Rental Car Location
QN27,East Elmhurst,40.76345871,-73.86604561,Hernandez Deli,40.76176393,-73.86721834,Deli / Bodega
QN27,East Elmhurst,40.76345871,-73.86604561,MTA Q49 (31st Ave/102nd Street),40.76126838,-73.86716187,Bus Station
QN27,East Elmhurst,40.76345871,-73.86604561,Flushing Bay,40.76286396,-73.86275022,Lake
QN27,East Elmhurst,40.76345871,-73.86604561,Dunkin',40.76540467,-73.86196003,Donut Shop
QN27,East Elmhurst,40.76345871,-73.86604561,Pavillon Restaurant,40.76704821,-73.86670725,Snack Place
QN27,East Elmhurst,40.76345871,-73.86604561,Gulf,40.76497429,-73.86163416,Gas Station
QN27,East Elmhurst,40.76345871,-73.86604561,TroupeFit,40.76351289,-73.8610335,Gym / Fitness Center
BK95,Erasmus,40.64554772,-73.95203004,Kings Theatre,40.64610998,-73.95717453,Theater
BK95,Erasmus,40.64554772,-73.95203004,Exquisite Delight,40.64909066,-73.94924267,Caribbean Restaurant
BK95,Erasmus,40.64554772,-73.95203004,Cafe Omar,40.64336018,-73.94902257,Music Venue
BK95,Erasmus,40.64554772,-73.95203004,Cocoa Mane Hair Salon,40.64110184,-73.95115662,Salon / Barbershop
BK95,Erasmus,40.64554772,-73.95203004,Nostrand Health Foods,40.64909203,-73.94924302,Juice Bar
BK95,Erasmus,40.64554772,-73.95203004,FIB Tattoo Bar,40.645226,-73.957701,Bar
BK95,Erasmus,40.64554772,-73.95203004,Domino's Pizza,40.648009,-73.948977,Pizza Place
BK95,Erasmus,40.64554772,-73.95203004,Michelle's Cocktail Lounge,40.64775,-73.956019,Lounge
BK95,Erasmus,40.64554772,-73.95203004,Trini Breakfast Shed II,40.64909213,-73.9492309,Caribbean Restaurant
BK95,Erasmus,40.64554772,-73.95203004,Cam Tak Express Restaurant,40.64437,-73.957677,Chinese Restaurant
BK95,Erasmus,40.64554772,-73.95203004,Katherin's Kettle Korn,40.6458506,-73.94622585,Food Truck
QN07,Hollis,40.71049663,-73.76406652,Baskin-Robbins,40.71144618,-73.7670266,Ice Cream Shop
QN07,Hollis,40.71049663,-73.76406652,LIRR - Hollis Station,40.70994976,-73.76689893,Train Station
QN07,Hollis,40.71049663,-73.76406652,CTown Supermarkets,40.71346652,-73.76566778,Grocery Store
QN07,Hollis,40.71049663,-73.76406652,Burger King,40.71304908,-73.76555443,Fast Food Restaurant
QN07,Hollis,40.71049663,-73.76406652,Kings Park,40.71234422,-73.76446857,Park
QN07,Hollis,40.71049663,-73.76406652,Diner,40.71144362,-73.76703366,Diner
BK25,Homecrest,40.59837428,-73.96471536,Stolovaya,40.59819153,-73.96255457,Russian Restaurant
